id;start_date;end_date;language
1;2020-03-12T02:48:00;2020-03-12T00:38:15;SPANISH
2;2020-03-11T07:38:11;2020-03-12T02:42:36;SPANISH
3;2020-03-11T22:33:30;2020-03-11T09:07:39;FRENCH
4;2020-03-11T13:51:01;2020-03-12T01:22:27;FRENCH
5;2020-03-11T23:21:19;2020-03-12T04:08:18;FRENCH
6;2020-03-11T17:13:40;2020-03-12T05:21:54;FRENCH
7;2020-03-11T18:59:00;2020-03-11T12:49:51;FRENCH
8;2020-03-11T17:55:13;2020-03-12T04:11:21;SPANISH
9;2020-03-11T16:36:22;2020-03-11T13:17:45;SPANISH
10;2020-03-12T00:48:26;2020-03-11T11:22:56;SPANISH
